Hour,DayType,Num,Type
0,Weekday,12758,Leaving
1,Weekday,5663,Leaving
2,Weekday,2699,Leaving
3,Weekday,1711,Leaving
4,Weekday,3245,Leaving
5,Weekday,18305,Leaving
6,Weekday,66226,Leaving
7,Weekday,152472,Leaving
8,Weekday,282612,Leaving
9,Weekday,196592,Leaving
10,Weekday,106740,Leaving
11,Weekday,103302,Leaving
12,Weekday,115861,Leaving
13,Weekday,122260,Leaving
14,Weekday,128205,Leaving
15,Weekday,138604,Leaving
16,Weekday,169917,Leaving
17,Weekday,272084,Leaving
18,Weekday,274216,Leaving
19,Weekday,186353,Leaving
20,Weekday,123879,Leaving
21,Weekday,82797,Leaving
22,Weekday,56868,Leaving
23,Weekday,33199,Leaving
0,Weekday,15542,Arriving
1,Weekday,6749,Arriving
2,Weekday,3113,Arriving
3,Weekday,1910,Arriving
4,Weekday,2721,Arriving
5,Weekday,14716,Arriving
6,Weekday,55732,Arriving
7,Weekday,125986,Arriving
8,Weekday,257156,Arriving
9,Weekday,230941,Arriving
10,Weekday,116957,Arriving
11,Weekday,100519,Arriving
12,Weekday,114401,Arriving
13,Weekday,121053,Arriving
14,Weekday,125237,Arriving
15,Weekday,136016,Arriving
16,Weekday,158453,Arriving
17,Weekday,247847,Arriving
18,Weekday,284355,Arriving
19,Weekday,207645,Arriving
20,Weekday,136824,Arriving
21,Weekday,90875,Arriving
22,Weekday,62813,Arriving
23,Weekday,38131,Arriving
