Hour,DayType,Num,Type
0,Weekend,10377,Leaving
1,Weekend,5747,Leaving
2,Weekend,3146,Leaving
3,Weekend,1776,Leaving
4,Weekend,1258,Leaving
5,Weekend,1315,Leaving
6,Weekend,4762,Leaving
7,Weekend,12832,Leaving
8,Weekend,27578,Leaving
9,Weekend,45781,Leaving
10,Weekend,61155,Leaving
11,Weekend,71533,Leaving
12,Weekend,78917,Leaving
13,Weekend,81333,Leaving
14,Weekend,78141,Leaving
15,Weekend,78128,Leaving
16,Weekend,77318,Leaving
17,Weekend,72337,Leaving
18,Weekend,63864,Leaving
19,Weekend,49669,Leaving
20,Weekend,32871,Leaving
21,Weekend,23189,Leaving
22,Weekend,17368,Leaving
23,Weekend,12364,Leaving
0,Weekend,11822,Arriving
1,Weekend,6656,Arriving
2,Weekend,3539,Arriving
3,Weekend,2039,Arriving
4,Weekend,1349,Arriving
5,Weekend,1193,Arriving
6,Weekend,3794,Arriving
7,Weekend,10917,Arriving
8,Weekend,24393,Arriving
9,Weekend,40877,Arriving
10,Weekend,57034,Arriving
11,Weekend,67713,Arriving
12,Weekend,76255,Arriving
13,Weekend,80138,Arriving
14,Weekend,78594,Arriving
15,Weekend,78683,Arriving
16,Weekend,78060,Arriving
17,Weekend,74592,Arriving
18,Weekend,67206,Arriving
19,Weekend,54173,Arriving
20,Weekend,36967,Arriving
21,Weekend,25485,Arriving
22,Weekend,18509,Arriving
23,Weekend,13647,Arriving
