Hour,DayType,Num,Type
0,Weekday,58463,Leaving
1,Weekday,29440,Leaving
2,Weekday,16107,Leaving
3,Weekday,9929,Leaving
4,Weekday,14447,Leaving
5,Weekday,67300,Leaving
6,Weekday,232710,Leaving
7,Weekday,470147,Leaving
8,Weekday,797963,Leaving
9,Weekday,562048,Leaving
10,Weekday,307673,Leaving
11,Weekday,285928,Leaving
12,Weekday,343790,Leaving
13,Weekday,359508,Leaving
14,Weekday,370070,Leaving
15,Weekday,404647,Leaving
16,Weekday,535826,Leaving
17,Weekday,865301,Leaving
18,Weekday,840804,Leaving
19,Weekday,562239,Leaving
20,Weekday,378680,Leaving
21,Weekday,262000,Leaving
22,Weekday,194272,Leaving
23,Weekday,125563,Leaving
0,Weekday,67711,Arriving
1,Weekday,33725,Arriving
2,Weekday,17873,Arriving
3,Weekday,10716,Arriving
4,Weekday,12799,Arriving
5,Weekday,53520,Arriving
6,Weekday,199665,Arriving
7,Weekday,409977,Arriving
8,Weekday,748526,Arriving
9,Weekday,639445,Arriving
10,Weekday,337033,Arriving
11,Weekday,278007,Arriving
12,Weekday,337426,Arriving
13,Weekday,357435,Arriving
14,Weekday,366994,Arriving
15,Weekday,391542,Arriving
16,Weekday,496015,Arriving
17,Weekday,800255,Arriving
18,Weekday,877517,Arriving
19,Weekday,618981,Arriving
20,Weekday,409934,Arriving
21,Weekday,280396,Arriving
22,Weekday,207894,Arriving
23,Weekday,138991,Arriving
