Hour,DayType,Num,Type
0,Weekend,38948,Leaving
1,Weekend,26064,Leaving
2,Weekend,16994,Leaving
3,Weekend,10807,Leaving
4,Weekend,6910,Leaving
5,Weekend,6602,Leaving
6,Weekend,15453,Leaving
7,Weekend,32353,Leaving
8,Weekend,58743,Leaving
9,Weekend,93225,Leaving
10,Weekend,125860,Leaving
11,Weekend,153639,Leaving
12,Weekend,171929,Leaving
13,Weekend,180076,Leaving
14,Weekend,178986,Leaving
15,Weekend,180660,Leaving
16,Weekend,181327,Leaving
17,Weekend,173439,Leaving
18,Weekend,157806,Leaving
19,Weekend,129514,Leaving
20,Weekend,94261,Leaving
21,Weekend,72355,Leaving
22,Weekend,57250,Leaving
23,Weekend,42880,Leaving
0,Weekend,42055,Arriving
1,Weekend,28494,Arriving
2,Weekend,18673,Arriving
3,Weekend,11949,Arriving
4,Weekend,7573,Arriving
5,Weekend,5944,Arriving
6,Weekend,13704,Arriving
7,Weekend,28466,Arriving
8,Weekend,53334,Arriving
9,Weekend,85393,Arriving
10,Weekend,118373,Arriving
11,Weekend,145776,Arriving
12,Weekend,166933,Arriving
13,Weekend,178390,Arriving
14,Weekend,177956,Arriving
15,Weekend,180416,Arriving
16,Weekend,182578,Arriving
17,Weekend,177052,Arriving
18,Weekend,163242,Arriving
19,Weekend,137565,Arriving
20,Weekend,101756,Arriving
21,Weekend,76785,Arriving
22,Weekend,60304,Arriving
23,Weekend,45848,Arriving
