ageS,NumSubs,NumCusts,Total
16,3314,1811,5125
17,15716,3465,19181
18,31136,9383,40519
19,55594,12690,68284
20,74820,14966,89786
21,99511,19269,118780
22,126062,23967,150029
23,230284,31099,261383
24,332897,33771,366668
25,450309,34131,484440
26,502619,34247,536866
27,539339,32904,572243
28,566474,34174,600648
29,566539,32299,598838
30,569095,43504,612599
31,528153,28721,556874
32,508867,25228,534095
33,508379,20970,529349
34,461897,19476,481373
35,422617,18547,441164
36,413000,15305,428305
37,379799,13894,393693
38,342035,13035,355070
39,324222,11441,335663
40,291738,10571,302309
41,276325,9781,286106
42,271881,7907,279788
43,258276,8358,266634
44,245615,7621,253236
45,243597,8730,252327
46,234084,7130,241214
47,243694,7199,250893
48,262892,7527,270419
49,235199,6639,241838
50,216236,6622,222858
51,213262,5333,218595
52,195978,5617,201595
53,190946,5440,196386
54,191250,4990,196240
55,184834,4216,189050
56,173797,3661,177458
57,152744,3256,156000
58,157265,2831,160096
59,136094,2193,138287
60,117768,2103,119871
61,112195,1742,113937
62,99819,1301,101120
63,74920,1070,75990
64,73407,891,74298
65,63390,968,64358
66,41996,692,42688
67,38617,515,39132
68,29161,408,29569
69,23051,254,23305
70,22829,204,23033
71,20603,235,20838
72,16477,157,16634
73,8313,98,8411
74,7491,104,7595
75,6317,60,6377
76,8056,39,8095
77,5909,16,5925
78,4233,15,4248
79,1171,9,1180
80,1350,5,1355
